sku,product_name,product_id,description_draft,check_id,check_label,reviewer,status,notes
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,"Classic Lebanese cashew kitta baklawa — flaky layers, roasted cashew, and traditional syrup finish. 3 kg trade pack for everyday menu staples.",pack_size,Pack size matches Central record (3 kg),merchandising,pending,
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,"Classic Lebanese cashew kitta baklawa — flaky layers, roasted cashew, and traditional syrup finish. 3 kg trade pack for everyday menu staples.",buyer_tone,Wholesale/HORECA tone appropriate,merchandising,pending,
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,"Classic Lebanese cashew kitta baklawa — flaky layers, roasted cashew, and traditional syrup finish. 3 kg trade pack for everyday menu staples.",length,1-3 sentences; <=220 chars preferred,merchandising,pending,142 chars
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,"Classic Lebanese cashew kitta baklawa — flaky layers, roasted cashew, and traditional syrup finish. 3 kg trade pack for everyday menu staples.",no_false_claims,No health or competitor claims,merchandising,pending,
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,"Classic Lebanese cashew kitta baklawa — flaky layers, roasted cashew, and traditional syrup finish. 3 kg trade pack for everyday menu staples.",spelling_grammar,Proofread spelling and grammar,merchandising,pending,
OAS-AS-BKL-0001,Cashew Kitta,c7c0c5aa-1d2f-4088-88f1-1e5aacd321a0,"Classic Lebanese cashew kitta baklawa — flaky layers, roasted cashew, and traditional syrup finish. 3 kg trade pack for everyday menu staples.",manual_signoff,Reviewer name and date recorded,catalogue_admin,pending,No DB write until signed
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,Turkish coconut durum baklawa with aromatic coconut notes and fine phyllo layers. 1 kg pack ideal for specialty dessert counters and gift assortments.,accurate_product,Product name origin and variant correct,merchandising,pending,
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,Turkish coconut durum baklawa with aromatic coconut notes and fine phyllo layers. 1 kg pack ideal for specialty dessert counters and gift assortments.,pack_size,Pack size matches Central record (1 kg),merchandising,pending,
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,Turkish coconut durum baklawa with aromatic coconut notes and fine phyllo layers. 1 kg pack ideal for specialty dessert counters and gift assortments.,buyer_tone,Wholesale/HORECA tone appropriate,merchandising,pending,
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,Turkish coconut durum baklawa with aromatic coconut notes and fine phyllo layers. 1 kg pack ideal for specialty dessert counters and gift assortments.,length,1-3 sentences; <=220 chars preferred,merchandising,pending,150 chars
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,Turkish coconut durum baklawa with aromatic coconut notes and fine phyllo layers. 1 kg pack ideal for specialty dessert counters and gift assortments.,no_false_claims,No health or competitor claims,merchandising,pending,
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,Turkish coconut durum baklawa with aromatic coconut notes and fine phyllo layers. 1 kg pack ideal for specialty dessert counters and gift assortments.,spelling_grammar,Proofread spelling and grammar,merchandising,pending,
OAS-AS-BKL-0025,Coconut Durum,f58e0a78-53a9-400b-8768-7af09b68ba38,Turkish coconut durum baklawa with aromatic coconut notes and fine phyllo layers. 1 kg pack ideal for specialty dessert counters and gift assortments.,manual_signoff,Reviewer name and date recorded,catalogue_admin,pending,No DB write until signed
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,"Lebanese cashew finger baklawa in an easy-serve finger shape. 3 kg pack built for buffet, catering, and high-velocity reorder programs.",accurate_product,Product name origin and variant correct,merchandising,pending,
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,"Lebanese cashew finger baklawa in an easy-serve finger shape. 3 kg pack built for buffet, catering, and high-velocity reorder programs.",pack_size,Pack size matches Central record (3 kg),merchandising,pending,
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,"Lebanese cashew finger baklawa in an easy-serve finger shape. 3 kg pack built for buffet, catering, and high-velocity reorder programs.",buyer_tone,Wholesale/HORECA tone appropriate,merchandising,pending,
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,"Lebanese cashew finger baklawa in an easy-serve finger shape. 3 kg pack built for buffet, catering, and high-velocity reorder programs.",length,1-3 sentences; <=220 chars preferred,merchandising,pending,135 chars
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,"Lebanese cashew finger baklawa in an easy-serve finger shape. 3 kg pack built for buffet, catering, and high-velocity reorder programs.",no_false_claims,No health or competitor claims,merchandising,pending,
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,"Lebanese cashew finger baklawa in an easy-serve finger shape. 3 kg pack built for buffet, catering, and high-velocity reorder programs.",spelling_grammar,Proofread spelling and grammar,merchandising,pending,
OAS-AS-BKL-0007,Cashew Finger,2390ea3d-19ba-43bb-8624-d6b033153c2f,"Lebanese cashew finger baklawa in an easy-serve finger shape. 3 kg pack built for buffet, catering, and high-velocity reorder programs.",manual_signoff,Reviewer name and date recorded,catalogue_admin,pending,No DB write until signed
